name,t_ms,in_size_bytes,out_size_bytes,nlines
third_party/angle/src/compiler/glslang_lex.cpp,1930,953396,32864,35452
third_party/libevent/strlcpy.c,42,9719,152,465
third_party/libevent/poll.c,183,71091,2576,2694
third_party/libevent/select.c,155,71457,2824,2659
third_party/libevent/evrpc.c,219,88705,5208,3450
third_party/libevent/signal.c,139,76376,4212,2872
third_party/angle/src/compiler/Intermediate.cpp,1834,896225,26312,33382
third_party/libevent/event_tagging.c,287,67980,5956,2622
third_party/libsrtp/srtp/srtp/ekt.c,104,78599,1212,3016
third_party/libevent/kqueue.c,166,74010,3708,2804
third_party/libsrtp/srtp/crypto/cipher/aes_cbc.c,175,66542,4256,2551
third_party/libsrtp/srtp/crypto/cipher/null_cipher.c,95,57214,1128,2132
third_party/libevent/event.c,401,82537,8600,3304
third_party/libsrtp/srtp/crypto/hash/auth.c,104,54666,1304,2029
third_party/libsrtp/srtp/crypto/cipher/aes_icm.c,172,67694,3736,2493
third_party/libsrtp/srtp/crypto/hash/null_auth.c,88,55094,1184,2028
third_party/libsrtp/srtp/crypto/hash/hmac.c,100,57610,2344,2176
third_party/libsrtp/srtp/crypto/cipher/cipher.c,165,62931,2908,2365
third_party/libsrtp/srtp/crypto/kernel/alloc.c,79,65276,572,2453
third_party/libsrtp/srtp/crypto/kernel/err.c,69,50816,548,1835
third_party/libsrtp/srtp/crypto/kernel/key.c,84,53389,588,1963
third_party/libsrtp/srtp/crypto/math/stat.c,140,57043,2736,2175
third_party/libsrtp/srtp/crypto/math/gf2_8.c,84,49780,668,1785
third_party/libsrtp/srtp/crypto/replay/rdb.c,84,52224,656,1903
third_party/libsrtp/srtp/srtp/srtp.c,388,118369,12228,4698
third_party/libsrtp/srtp/crypto/hash/sha1.c,235,64912,4848,2155
third_party/libsrtp/srtp/crypto/replay/rdbx.c,105,55265,1448,2073
third_party/libsrtp/srtp/crypto/kernel/crypto_kernel.c,202,75419,7584,2950
third_party/libsrtp/srtp/crypto/rng/prng.c,100,60705,1592,2270
third_party/libsrtp/srtp/crypto/math/datatypes.c,198,58296,6004,2283
third_party/angle/src/compiler/ValidateLimitations.cpp,1321,880918,15976,32940
third_party/libsrtp/srtp/crypto/replay/ut_sim.c,76,29069,640,1132
third_party/libsrtp/srtp/crypto/rng/ctr_prng.c,91,58943,1040,2198
third_party/libsrtp/srtp/crypto/rng/rand_source.c,101,51513,984,1889
third_party/angle/src/compiler/ParseHelper.cpp,1912,912867,39108,34174
third_party/smhasher/src/MurmurHash3.cpp,137,8170,3032,398
third_party/libsrtp/srtp/crypto/cipher/aes.c,542,91494,30640,2831
native_client/src/shared/gio/gprintf.c,73,50312,612,1964
third_party/angle/src/compiler/SymbolTable.cpp,1767,852973,21440,32040
third_party/libevent/http.c,801,143111,30476,5850
third_party/libevent/evdns.c,942,159169,34116,5611
native_client/src/shared/gio/gio_mem.c,86,54452,1092,2108
native_client/src/shared/gio/gio_mem_snapshot.c,82,53754,1312,2053
native_client/src/shared/gio/gio.c,94,52012,1544,2038
third_party/angle/src/compiler/VariableInfo.cpp,1373,836105,18716,31465
native_client/src/shared/gio/gio_pio.c,88,53992,1264,2133
third_party/libwebp/dsp/dec_neon.c,33,247,152,9
third_party/libwebp/dsp/cpu.c,54,12487,436,453
third_party/libwebp/dsp/yuv.c,65,19577,1064,784
third_party/skia/src/opts/SkBitmapProcState_opts_SSSE3.cpp,426,213060,3932,8846
native_client/src/trusted/validator_x86/nccopycode_stores.S,36,883,832,28
third_party/libwebp/dsp/enc_sse2.c,247,145073,5864,5291
third_party/webrtc/system_wrappers/source/atomic32.cc,159,45228,1628,1939
third_party/libwebp/dsp/dec.c,479,49597,17300,1992
third_party/libwebp/dsp/dec_sse2.c,841,154907,17196,5415
third_party/libwebp/dsp/upsampling_sse2.c,765,158492,27172,4499
third_party/libwebp/dsp/enc.c,842,67593,17404,2584
third_party/libwebp/dsp/upsampling.c,812,53699,34936,1065
third_party/angle/src/compiler/Initialize.cpp,3349,881276,106248,32832
third_party/webrtc/system_wrappers/source/cpu_no_op.cc,37,3742,316,153
third_party/webrtc/system_wrappers/source/condition_variable.cc,54,16446,412,545
breakpad/src/common/mac/HTTPMultipartUpload.m,936,2919588,8756,88703
third_party/webrtc/system_wrappers/source/aligned_malloc.cc,453,82601,632,3074
third_party/webrtc/system_wrappers/source/cpu_info.cc,87,50943,1176,2271
third_party/webrtc/system_wrappers/source/condition_variable_posix.cc,482,32985,2268,1452
third_party/webrtc/system_wrappers/source/cpu_features.cc,57,3908,568,175
native_client/src/trusted/validator_x86/nccopycode.c,757,167750,2400,6282
third_party/webrtc/system_wrappers/source/critical_section.cc,59,26778,452,1187
third_party/webrtc/system_wrappers/source/critical_section_posix.cc,76,27118,1560,1202
breakpad/src/common/mac/GTMLogger.m,1020,2936732,20944,89284
breakpad/src/client/mac/sender/uploader.mm,1275,3101610,23656,93678
third_party/webrtc/system_wrappers/source/rw_lock_posix.cc,80,17086,2252,599
third_party/webrtc/system_wrappers/source/file_impl.cc,144,48835,4144,2212
third_party/webrtc/system_wrappers/source/event_posix.cc,177,61201,3948,2603
third_party/webrtc/system_wrappers/source/rw_lock.cc,74,37549,908,1432
third_party/webrtc/system_wrappers/source/list_no_stl.cc,159,19039,4656,1096
third_party/webrtc/system_wrappers/source/thread.cc,56,27664,440,1236
third_party/webrtc/system_wrappers/source/trace_impl_no_op.cc,56,12197,796,714
native_client/src/trusted/validator/x86/ncval_seg_sfi/ncdecode.c,913,288713,50760,8582
third_party/webrtc/system_wrappers/source/thread_posix.cc,259,245663,4044,12967
third_party/webrtc/system_wrappers/source/map.cc,393,229302,4800,9171
native_client/src/trusted/service_runtime/nacl_error_code.c,83,52766,4580,1926
third_party/libwebp/enc/config.c,79,35413,960,1395
v8/src/runtime.cc,16181,2160445,350372,71801
breakpad/src/client/mac/sender/crash_report_sender.m,1472,3703249,29696,114111
third_party/libwebp/enc/alpha.c,69,47863,548,1905
third_party/webrtc/modules/video_processing/main/source/content_analysis_sse2.cc,235,159156,2192,6064
third_party/libwebp/enc/cost.c,130,71481,8356,2390
third_party/webrtc/system_wrappers/source/cpu_mac.cc,725,872442,3472,36313
third_party/libwebp/enc/layer.c,72,47965,692,1907
third_party/webrtc/system_wrappers/source/data_log_no_op.cc,744,793856,2296,30090
third_party/libwebp/enc/analysis.c,315,56617,4324,2227
third_party/libwebp/enc/iterator.c,243,55740,5536,2209
third_party/libwebp/enc/filter.c,313,68905,6396,2569
third_party/libwebp/enc/syntax.c,177,65049,3124,2429
